date,bdi,bci,capesize_tc_avg_usd_day,bpi,panamax_tc_avg_usd_day,bsi,supramax_tc_avg_usd_day,bhsi,handysize_tc_avg_usd_day,source_url
2025-06-10,1691,3010,24961,1264,11378,926,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-11,1680,2956,24519,1300,11698,919,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-12,1738,3096,25679,1337,,922,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-13,1904,3555,29481,1375,12376,933,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-17,1975,3731,30944,1410,12694,939,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-18,1952,3660,30357,1406,12652,945,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-19,1874,3442,28546,1378,,949,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-20,1751,3078,25524,1353,12174,963,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-24,1674,2818,23367,1362,12254,979,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-25,1681,2817,23360,1384,12455,983,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-26,1665,2724,22592,1425,,994,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-27,1553,2345,19447,1468,13214,1000,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-30,1489,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-07-02,1458,2011,16677,1500,13498,1018,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-03,1443,1958,16242,1492,13424,1031,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-04,1434,1894,15705,1507,13565,1052,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-05,1436,1855,15382,1520,,1081,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-08,1436,1825,,1531,,1100,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-09,1431,1751,14521,1569,,1125,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-10,1423,1654,,1621,,1151,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-11,1465,1664,13799,1723,15507,1182,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-15,1783,2367,19633,1949,17544,1244,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-16,1866,2533,21003,1990,17914,1287,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-17,1906,2642,21908,1967,17700,1315,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-18,2030,3021,25055,1933,17399,1335,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-22,2016,2981,24720,1915,17232,1346,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-23,2035,3061,25390,1909,,1329,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-24,2120,3339,27688,1905,17142,1313,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-25,2258,3790,31429,1882,16940,1298,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-26,2257,3829,31756,1838,16540,1294,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-29,2226,3774,31296,1798,16180,1289,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-30,2109,3476,28830,1741,15671,1281,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-07-31,1995,3186,26422,1689,15203,1271,,,,https://www.handybulk.com/baltic-dry-index/2025/july/
2025-09-09,2019,2912,24150,1846,16613,1464,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-16,2153,3154,,2003,,1493,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-17,2154,3189,26443,1968,17712,1491,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-18,2180,3300,,1923,,1492,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-19,2205,3411,,1881,,1492,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-23,2172,3365,27903,1822,,1486,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-24,2200,3469,,1799,,1486,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-25,2240,3573,,1824,16414,1483,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-26,2266,3641,,1835,16517,1483,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-27,2259,3627,,1832,16484,1479,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-29,2259,3627,,1832,,1479,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-09-30,2220,3524,,1818,,1478,,,,https://www.handybulk.com/baltic-dry-index/2025/september/
2025-10-02,1980,2890,23968,1725,15521,1467,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-03,1909,2720,,1685,,1456,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-04,1901,2724,,1662,14961,1447,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-07,1932,2828,23453,1654,,1443,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-08,1947,2885,23927,1665,14988,1425,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-09,1963,2924,24252,1695,15252,1411,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-14,2144,3392,,1806,16257,1400,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-15,2022,3007,24938,1815,,1408,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-16,1997,2916,,1821,,1418,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-17,2046,3058,25358,1826,,1422,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-18,2069,3121,,1827,,1424,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-21,2069,3128,25944,1829,16460,1422,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-22,2094,3184,26404,1858,16718,1414,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-23,2092,3159,26199,1904,17138,1397,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-24,2057,3059,25367,1924,17319,1378,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-25,1991,2871,,1924,17318,1369,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-28,1976,2838,,1921,,1361,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-29,1950,2784,,1904,17138,1350,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-10-30,1961,2843,23580,1885,,1342,,,,https://www.handybulk.com/baltic-dry-index/2025/october/
2025-11-01,1966,2929,24288,1821,,1326,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-04,1945,2888,23955,1801,,1320,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-05,1958,2947,,1788,16090,1311,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-06,2003,3084,25573,1793,16140,1307,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-07,2063,3242,26888,1817,16351,1312,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-08,2104,3341,,1833,16501,1319,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-11,2084,3263,,1845,16601,1327,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-12,2072,3192,,1865,16785,1344,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-13,2030,3023,25067,1887,,1365,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-14,2077,3133,,1897,17075,1387,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-15,2125,3252,,1897,17701,1408,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-18,2153,3328,27597,1887,16986,1423,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-19,2216,3516,29160,1882,16939,1427,18042,820,14767,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-20,2260,3636,30154,1895,,1430,18080,820,14759,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-21,2270,3647,30244,1912,17204,1435,18140,821,14770,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-22,2275,3653,30292,1928,17354,1432,18098,820,14760,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-25,2295,3700,30685,1944,17498,1432,18103,819,14750,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-26,2309,3730,30938,1957,17615,1431,18085,818,14722,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-27,2401,3998,33160,1965,17686,1435,18136,822,14792,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-28,2480,4236,35133,1962,17655,1437,18167,825,14845,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-11-29,2560,,37158,1952,,1441,,,,https://www.handybulk.com/baltic-dry-index/2025/november/
2025-12-02,2583,4563,37840,1934,17405,1442,18228,830,14932,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-03,2600,4633,38427,1915,17237,1441,18209,837,15066,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-04,2845,5387,44672,1892,17032,1444,18250,840,15127,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-05,2814,5319,44108,1863,16767,1441,18213,841,15146,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-07,2727,5083,42151,1837,16530,1436,18154,841,15146,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-08,2694,5013,41571,1813,16313,1430,18075,840,15113,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-09,2557,4631,38403,1786,16078,1419,17942,837,15059,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-10,2430,4284,35527,1764,15878,1405,17760,823,14819,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-11,2294,3927,32569,1724,15519,1387,17534,814,14650,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-12,2205,3706,30731,1688,15194,1371,17333,805,14482,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-15,2193,3719,30841,1644,14796,1360,17189,796,14329,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-16,2204,3834,31800,1577,14189,1325,16875,785,14132,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-17,2121,3694,30637,1480,13318,1308,16531,774,13927,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-18,2071,3675,30480,1389,12505,1258,15904,758,13641,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-19,2023,3624,30052,1323,11908,1222,15441,746,13432,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-22,1979,3559,29518,1282,11540,1193,,,,https://www.handybulk.com/baltic-dry-index/2025/december/
2025-12-23,1889,3337,27676,1266,11391,1162,14687,728,13112,https://www.handybulk.com/baltic-dry-index/2025/december/
2026-01-02,1882,3108,24687,1282,11536,1076,13601,685,12329,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-05,1851,3049,24149,1293,11640,1043,13189,660,11874,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-06,1830,3016,23854,1304,11736,1011,12780,639,11501,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-07,1776,2878,22595,1317,11851,993,12549,624,11229,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-08,1718,2721,21179,1336,12028,976,12336,613,11040,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-09,1688,2640,20444,1345,12108,967,12223,605,10897,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-12,1659,2574,19838,1340,12058,960,12134,599,10777,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-13,1608,2446,18677,1331,11978,952,12038,593,10675,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-14,1566,2322,17560,1341,12072,953,12040,590,10613,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-15,1532,2175,16226,1398,12585,963,12166,589,10598,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-16,1567,2224,16670,1458,13120,967,12220,588,10578,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-19,1650,2403,18293,1521,13688,970,12257,589,10595,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-20,1729,2570,19804,1570,14130,983,12428,591,10644,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-21,1803,2732,21279,1606,14458,996,12593,594,10698,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-22,1761,2589,19976,1614,14525,1019,12885,598,10760,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-23,1762,2583,19928,1612,14504,1026,12975,600,10793,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-26,1780,2626,20318,1612,14504,1035,13082,601,10810,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-27,1999,3215,25653,1625,14621,1039,13138,604,10879,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-28,2016,3209,25603,1681,15130,1048,13249,609,10956,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-29,2002,3131,24897,1716,15444,1062,13420,614,11045,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-01-30,2148,3507,28306,1743,15686,1067,13489,618,11124,https://www.handybulk.com/baltic-dry-index/2026/january/
2026-02-02,2124,3434,27638,1748,15735,1072,13555,621,11185,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-03,2028,3175,25288,1724,15515,1083,13691,626,11259,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-04,1955,2994,23653,1685,15166,1092,13801,629,11329,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-05,1936,2951,23263,1659,14931,1102,13929,636,11444,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-06,1923,2918,22965,1652,14865,1104,13958,638,11479,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-09,1895,2833,22189,1648,14829,1114,14077,639,11493,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-10,1882,2771,21625,1670,15027,1123,14200,646,11623,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-11,1958,2914,22929,1735,15615,1140,14412,657,11818,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-12,2095,3241,25893,1766,15897,1165,14725,670,12056,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-13,2083,3181,25346,1777,15989,1186,14993,680,12247,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-16,2100,3209,25605,1785,16068,1198,15137,686,12346,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-17,2095,3194,25464,1792,16132,1194,15092,694,12492,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-18,2063,3115,24747,1796,16167,1180,14917,702,12634,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-19,2019,3001,23713,1816,16340,1160,14661,706,12708,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-20,2043,3051,24172,1838,16543,1159,14646,709,12766,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-23,2112,3210,25608,1853,16678,1179,14897,711,12803,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-24,2129,3207,25585,1866,16793,1217,15382,724,13038,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-25,2121,3128,24863,1890,17014,1255,15857,744,13390,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-26,2117,3051,24169,1916,17247,1299,16419,763,13734,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-02-27,2140,3056,24211,1942,17481,1338,16915,776,13976,https://www.handybulk.com/baltic-dry-index/2026/february/
2026-03-02,2187,3133,24910,1979,17814,1361,17207,785,14134,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-03,2242,3245,25929,2002,18015,1383,17476,799,14379,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-04,2233,3202,25541,2014,18127,1392,17592,810,14573,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-05,2138,2951,23262,1997,17970,1392,17600,819,14748,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-06,2010,2631,20355,1962,17656,1386,17525,827,14893,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-09,2066,2835,22207,1914,17223,1373,17355,833,15002,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-10,1919,2502,19188,1861,16750,1342,16964,831,14967,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-11,1926,2574,19843,1831,16479,1312,16582,822,14796,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-12,1972,2721,21173,1835,16516,1290,16303,807,14534,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-13,2028,2880,22621,1838,16546,1283,16213,796,14330,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-16,2038,2927,23040,1836,16528,1268,16030,788,14186,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-17,2024,2888,22691,1853,16673,1256,15878,770,13863,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-18,2064,2986,23574,1891,17016,1240,15676,759,13668,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-19,2057,2965,23389,1909,17177,1229,15540,749,13491,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-20,2056,2971,23438,1904,17132,1224,15473,744,13389,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-23,2037,2937,23131,1888,16994,1218,15401,737,13272,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-24,1989,2844,22292,1839,16552,1215,15364,731,13163,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-25,2001,2915,22937,1796,16166,1208,15275,726,13072,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-26,2014,2974,23471,1770,15931,1205,15232,721,12969,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-27,2031,3032,23994,1756,15800,1206,15241,713,12842,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-30,2017,3004,23745,1742,15682,1203,15208,708,12752,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-03-31,1995,2947,23221,1744,15692,1202,15190,702,12629,https://www.handybulk.com/baltic-dry-index/2026/march/
2026-04-01,2030,3023,23918,1758,15825,1209,15285,696,12532,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-02,2066,3086,24488,1784,16056,1224,15476,695,12508,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-07,2095,3148,25045,1802,16220,1231,15564,694,12500,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-08,2139,3220,25702,1823,16409,1261,15941,692,12452,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-09,2161,3235,25835,1842,16582,1293,16344,694,12494,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-10,2201,3318,26585,1855,16696,1308,16538,699,12573,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-13,2250,3437,27667,1862,16757,1320,16681,701,12626,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-14,2354,3671,29792,1900,17101,1344,16988,706,12708,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-15,2484,3964,32450,1948,17528,1371,17330,715,12875,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-16,2523,4026,33012,1970,17730,1398,17669,730,13143,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-17,2567,4128,33932,1975,17773,1415,17886,741,13337,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-20,2633,4300,35496,1976,17785,1422,17970,754,13571,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-21,2640,4300,35495,1973,17758,1443,18240,769,13844,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-22,2675,4356,36002,1971,17744,1484,18760,781,14050,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-23,2673,4315,35634,1965,17682,1522,19241,791,14235,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-24,2665,4282,35333,1960,17638,1535,19403,797,14354,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-27,2666,4282,35334,1957,17617,1540,19468,802,14428,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-28,2677,4304,35536,1966,17695,1542,19487,804,14467,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-29,2670,4283,35340,1979,17814,1534,19391,811,14597,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-04-30,2686,4327,35741,1992,17930,1525,19278,814,14656,https://www.handybulk.com/baltic-dry-index/2026/april/
2026-05-01,2730,4447,36828,2002,18018,1520,19209,815,14666,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-05,2832,4703,39146,2054,18490,1508,19058,821,14774,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-06,2991,5074,42514,2135,19216,1514,19136,824,14828,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-07,3034,5139,43107,2195,19758,1521,19226,827,14888,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-08,2978,4955,41438,2233,20099,1522,19240,833,14994,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-11,3001,4976,41630,2283,20548,1527,19300,838,15077,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-12,3063,5082,42588,2360,21241,1535,19408,843,15165,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-13,3189,5340,44930,2454,22083,1553,19625,848,15255,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-14,3195,5316,44706,2503,22528,1558,19698,851,15311,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-15,3151,5173,43413,2521,22691,1565,19788,850,15296,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-18,3092,5013,41959,2511,22597,1570,19849,852,15339,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-19,3054,4949,41385,2459,22131,1568,19822,850,15304,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-20,3005,4880,40760,2374,21367,1566,19789,848,15256,https://www.handybulk.com/baltic-dry-index/2026/may/
2026-05-21,2964,4834,40335,2276,20485,1571,19863,846,15224,https://www.handybulk.com/baltic-dry-index/2026/may/
