split,model,scope,h,n,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
test,rw,Panamax,90,228,0.14594215612807107,0.11810328584263374,0.10836382465566621,0.23620657168526749,0.23684210526315788
test,rw,Supramax,90,229,0.14618620503485438,0.14252268989691536,0.10811977574888285,0.2850453797938307,0.3231441048034934
test,xgb,Capesize,90,256,0.10684088154333889,0.20270876997930332,0.05794134534861752,0.40541753995860663,0.76953125
test,xgb,Handysize,90,115,0.040718282146854176,0.3856061788361426,0.09676836916943095,0.7712123576722852,0.8521739130434782
test,xgb,POOLED,90,828,0.07760579898272407,0.22262852794821683,0.06837503175532249,0.44525705589643366,0.7729468599033816
test,xgb,Panamax,90,228,0.07729016850138136,0.11521123402833973,0.054858311741586493,0.23042246805667946,0.8333333333333334
test,xgb,Supramax,90,229,0.06376233632051352,0.2700004545930308,0.0792379229370946,0.5400009091860616,0.6768558951965066
valid,ar1,Capesize,7,391,0.056867361467791706,0.11504466580690116,0.055398084964124385,0.23008933161380232,0.5370843989769821
valid,ar1,POOLED,7,393,0.05670832901752822,0.1148454445141442,0.05540102884574755,0.2296908890282884,0.5343511450381679
valid,ar1,Panamax,7,1,0.030050127147200192,0.05373447099922579,0.051543915546890494,0.10746894199845158,0.0
valid,ar1,Supramax,7,1,0.021184842834828646,0.09806089256108352,0.06040919985926204,0.19612178512216705,0.0
valid,lgbm,Capesize,7,391,0.05028773463895733,0.10618455230650195,0.056261745845629325,0.2123691046130039,0.5882352941176471
valid,lgbm,POOLED,7,393,0.050131000665436784,0.10659815438197995,0.05623870669918933,0.2131963087639599,0.5852417302798982
valid,lgbm,Panamax,7,1,0.023100801321096844,0.17662805441568263,0.048502992773187335,0.35325610883136527,0.0
valid,lgbm,Supramax,7,1,0.015878216363237652,0.1982866658601683,0.05496611436714803,0.3965733317203366,0.0
valid,lgbm_tuned,Capesize,7,391,0.052623159053410445,0.10765308242022417,0.056018016715859945,0.21530616484044834,0.6061381074168798
valid,lgbm_tuned,POOLED,7,393,0.052467375574615935,0.10838144233820673,0.05598833557794132,0.21676288467641347,0.6030534351145038
valid,lgbm_tuned,Panamax,7,1,0.025988234104131716,0.22039539505027994,0.04624667599443927,0.4407907901005599,0.0
valid,lgbm_tuned,Supramax,7,1,0.018035176836448664,0.28115621755730436,0.05412467023526125,0.5623124351146087,0.0
valid,lstm,Capesize,7,273,0.054775402779652094,0.1081236852427946,0.047267511685768475,0.2162473704855892,0.46886446886446886
valid,lstm,POOLED,7,273,0.054775402779652094,0.1081236852427946,0.047267511685768475,0.2162473704855892,0.46886446886446886
valid,rw,Capesize,7,391,0.05447537491140032,0.11777110181969609,0.06108161284505988,0.23554220363939218,0.4961636828644501
valid,rw,POOLED,7,393,0.05437237215406376,0.11737367913235863,0.061025759093166015,0.23474735826471727,0.49872773536895676
valid,rw,Panamax,7,1,0.03777891845285746,0.021959616967417883,0.046562765239824604,0.043919233934835766,1.0
valid,rw,Supramax,7,1,0.030691747736670473,0.05739547054835281,0.053649935956011585,0.11479094109670562,1.0
valid,xgb,Capesize,7,391,0.047380084988014645,0.10796200631829607,0.05612196117672712,0.21592401263659214,0.6163682864450127
valid,xgb,POOLED,7,393,0.047256940559067026,0.10817836253681852,0.05617736895059602,0.21635672507363704,0.6132315521628499
valid,xgb,Panamax,7,1,0.027189195309404914,0.1311018459284088,0.06351757928299467,0.2622036918568176,0.0
valid,xgb,Supramax,7,1,0.019175214090211945,0.16985016058751068,0.07050159820093337,0.33970032117502136,0.0
valid,ar1,Capesize,30,391,0.11651292435280716,0.185281499123322,0.07060428899279328,0.370562998246644,0.5754475703324808
valid,ar1,POOLED,30,393,0.11632640289854668,0.18474067081588685,0.07067576508334546,0.3694813416317737,0.5776081424936387
valid,ar1,Panamax,30,1,0.09566320593308691,0.06703903122313948,0.0688475934438311,0.13407806244627896,1.0
valid,ar1,Supramax,30,1,0.06405971124815953,0.09097844220149742,0.10045108812875847,0.18195688440299485,1.0
valid,lgbm,Capesize,30,391,0.09978645777683233,0.21350290152200996,0.17594872700158765,0.4270058030440199,0.5140664961636828
valid,lgbm,POOLED,30,393,0.09974575495670762,0.21284040383535424,0.1752347746968832,0.4256808076707085,0.5165394402035624
valid,lgbm,Panamax,30,1,0.10389899660787671,0.1301287768839292,0.03527680951090665,0.2602575537678584,1.0
valid,lgbm,Supramax,30,1,0.07967771063677383,0.03651543530438506,0.03603738874342727,0.07303087060877012,1.0
valid,lgbm_tuned,Capesize,30,391,0.09951803776518356,0.20110335962013065,0.1794151752345365,0.4022067192402613,0.5652173913043478
valid,lgbm_tuned,POOLED,30,393,0.09951417792889741,0.20056946949208626,0.17867579994072733,0.4011389389841725,0.5674300254452926
valid,lgbm_tuned,Panamax,30,1,0.11087022292050604,0.15209969230414533,0.03552859293600531,0.30419938460829066,1.0
valid,lgbm_tuned,Supramax,30,1,0.08664893694940315,0.04028820661464261,0.03272726706606352,0.08057641322928522,1.0
valid,lstm,Capesize,30,273,0.06427374901179322,0.15986366999971138,0.08753450677191164,0.31972733999942277,0.46886446886446886
valid,lstm,POOLED,30,273,0.06427374901179322,0.15986366999971138,0.08753450677191164,0.31972733999942277,0.46886446886446886
valid,rw,Capesize,30,391,0.11552104890182256,0.21057905066480595,0.11859564415911966,0.4211581013296119,0.46035805626598464
valid,rw,POOLED,30,393,0.1155286968859861,0.21010879966668045,0.11834708610221167,0.4202175993333609,0.4580152671755725
valid,rw,Panamax,30,1,0.129134520775511,0.1787279444609018,0.057643342991150245,0.3574558889218036,0.0
valid,rw,Supramax,30,1,0.10491323480440809,0.057621514605387336,0.08186462896225313,0.11524302921077467,0.0
valid,xgb,Capesize,30,391,0.0814413011617177,0.18825236107329252,0.10026873518201079,0.37650472214658504,0.5524296675191815
valid,xgb,POOLED,30,393,0.08144670857447743,0.1876865613375901,0.10022791472997247,0.3753731226751802,0.55470737913486
valid,xgb,Panamax,30,1,0.10119171535320942,0.0646796050343843,0.07847719991854969,0.1293592100687686,1.0
valid,xgb,Supramax,30,1,0.06381600018479512,0.08946582098116052,0.10601783279440713,0.17893164196232103,1.0
valid,ar1,Capesize,90,391,0.13146005993837775,0.21548872632929092,0.059060110114938925,0.43097745265858184,0.6649616368286445
valid,ar1,POOLED,90,393,0.13122130426065262,0.21473066070060062,0.05927071198895958,0.42946132140120125,0.6666666666666666
valid,ar1,Panamax,90,1,0.09785033532371212,0.02678180755510473,0.0871376123016702,0.05356361511020946,1.0
valid,ar1,Supramax,90,1,0.07123880320705549,0.10627585302817844,0.11374914441832674,0.21255170605635687,1.0
valid,lgbm,Capesize,90,391,0.11217624266750015,0.16939790384337375,0.09917879278513457,0.3387958076867475,0.690537084398977
valid,lgbm,POOLED,90,393,0.11223330922728549,0.16876274271352365,0.09929943697666495,0.3375254854270473,0.6921119592875318
valid,lgbm,Panamax,90,1,0.12940931667771985,0.000980197935090299,0.0819256033183885,0.001960395870180598,1.0
valid,lgbm,Supramax,90,1,0.11737032665291941,0.08819728572056018,0.1638451495233181,0.17639457144112036,1.0
valid,lgbm_tuned,Capesize,90,391,0.10467541673357536,0.16485682971578036,0.10153965595491465,0.3297136594315607,0.7007672634271099
valid,lgbm_tuned,POOLED,90,393,0.10465762104508759,0.16456512206547305,0.10156663194727483,0.3291302441309461,0.7022900763358778
valid,lgbm_tuned,Panamax,90,1,0.10927925437122177,0.019880271533853744,0.06455424506127548,0.03976054306770749,1.0
valid,lgbm_tuned,Supramax,90,1,0.09307787352024022,0.19519228132694,0.14912663184609146,0.39038456265388,1.0
valid,lstm,Capesize,90,273,0.1602582175320165,0.2915169086573718,0.0990579550279836,0.5830338173147436,0.43956043956043955
valid,lstm,POOLED,90,273,0.1602582175320165,0.2915169086573718,0.0990579550279836,0.5830338173147436,0.43956043956043955
valid,rw,Capesize,90,391,0.14632594426257764,0.21187370897976257,0.11674948476587364,0.42374741795952514,0.4143222506393862
valid,rw,POOLED,90,393,0.1464524051391055,0.21191563707931682,0.11657839565400373,0.42383127415863364,0.4122137404580153
valid,rw,Panamax,90,1,0.17719500151270334,0.2502100556041733,0.0771109792710339,0.5004201112083466,0.0
valid,rw,Supramax,90,1,0.1651560114879029,0.1900151054801711,0.08914996929583434,0.3800302109603422,0.0
valid,xgb,Capesize,90,391,0.0872916033534809,0.16415513846951235,0.06808142569418242,0.3283102769390247,0.6956521739130435
valid,xgb,POOLED,90,393,0.08696325388039187,0.16538348667926525,0.06840709017135059,0.3307669733585305,0.6972010178117048
valid,xgb,Panamax,90,1,0.04391847802094491,0.23926993320922696,0.09167916598030067,0.4785398664184539,1.0
valid,xgb,Supramax,90,1,0.001623385762019325,0.5717811901626813,0.17246982493515461,1.1435623803253625,1.0
