chokepoint_id,iso_year,iso_week,event_count,avg_tone,n_source_articles,retrieved_at
chokepoint26,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint27,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint28,2025,35,1,-6.45161290322581,2,2026-08-29T15:20:24.447965+00:00
chokepoint1,2025,36,1,-7.17571059431525,10,2026-08-29T15:20:48.422327+00:00
chokepoint2,2025,36,10,-1.1812688192860867,35,2026-08-29T15:20:48.422327+00:00
chokepoint3,2025,36,25,-4.766602075540549,124,2026-08-29T15:20:48.422327+00:00
chokepoint4,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint5,2025,36,81,-3.0884523766296823,551,2026-08-29T15:20:48.422327+00:00
chokepoint6,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint7,2025,36,92,-6.592685215952676,407,2026-08-29T15:20:48.422327+00:00
chokepoint8,2025,36,6,-4.82520099081464,28,2026-08-29T15:20:48.422327+00:00
chokepoint9,2025,36,13,-3.837616171334491,1448,2026-08-29T15:20:48.422327+00:00
chokepoint10,2025,36,5,-0.8718007295458261,25,2026-08-29T15:20:48.422327+00:00
chokepoint11,2025,36,1,-1.69491525423729,20,2026-08-29T15:20:48.422327+00:00
chokepoint12,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint13,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint14,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint15,2025,36,4,-7.78611632270169,7,2026-08-29T15:20:48.422327+00:00
chokepoint16,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint17,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint18,2025,36,1,0.56497175141243,4,2026-08-29T15:20:48.422327+00:00
chokepoint19,2025,36,1,-8.49557522123894,4,2026-08-29T15:20:48.422327+00:00
chokepoint20,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint21,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint22,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint23,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint24,2025,36,1,1.89873417721519,8,2026-08-29T15:20:48.422327+00:00
chokepoint25,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint26,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint27,2025,36,0,,0,2026-08-29T15:20:48.422327+00:00
chokepoint28,2025,36,1,-4.13793103448276,6,2026-08-29T15:20:48.422327+00:00
chokepoint1,2025,37,3,-4.02137114977682,4,2026-08-29T15:21:15.452210+00:00
chokepoint2,2025,37,13,-2.2219134418356288,215,2026-08-29T15:21:15.452210+00:00
chokepoint3,2025,37,69,-6.272628232886407,467,2026-08-29T15:21:15.452210+00:00
chokepoint4,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint5,2025,37,122,-3.85530209621509,792,2026-08-29T15:21:15.452210+00:00
chokepoint6,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint7,2025,37,134,-7.521461927972939,551,2026-08-29T15:21:15.452210+00:00
chokepoint8,2025,37,1,-4.91071428571429,6,2026-08-29T15:21:15.452210+00:00
chokepoint9,2025,37,9,-7.521607629464103,71,2026-08-29T15:21:15.452210+00:00
chokepoint10,2025,37,8,-2.634899839473242,81,2026-08-29T15:21:15.452210+00:00
chokepoint11,2025,37,4,0.0,10,2026-08-29T15:21:15.452210+00:00
chokepoint12,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint13,2025,37,2,0.58411214953271,7,2026-08-29T15:21:15.452210+00:00
chokepoint14,2025,37,1,-4.08163265306122,1,2026-08-29T15:21:15.452210+00:00
chokepoint15,2025,37,2,-9.85703812316716,6,2026-08-29T15:21:15.452210+00:00
chokepoint16,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint17,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint18,2025,37,2,-3.39360222531293,2,2026-08-29T15:21:15.452210+00:00
chokepoint19,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint20,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint21,2025,37,2,0.39487375080714504,9,2026-08-29T15:21:15.452210+00:00
chokepoint22,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint23,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint24,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint25,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint26,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint27,2025,37,0,,0,2026-08-29T15:21:15.452210+00:00
chokepoint28,2025,37,1,-5.42168674698796,8,2026-08-29T15:21:15.452210+00:00
chokepoint1,2025,38,3,-6.74518201284797,7,2026-08-29T15:21:41.793786+00:00
chokepoint2,2025,38,11,-3.734623878812968,56,2026-08-29T15:21:41.793786+00:00
chokepoint3,2025,38,36,-4.259832634102088,177,2026-08-29T15:21:41.793786+00:00
chokepoint4,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint5,2025,38,97,-3.21541096454073,634,2026-08-29T15:21:41.793786+00:00
chokepoint6,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint7,2025,38,110,-5.953028078707249,521,2026-08-29T15:21:41.793786+00:00
chokepoint8,2025,38,12,-2.6649945023896358,104,2026-08-29T15:21:41.793786+00:00
chokepoint9,2025,38,5,-5.976210628084511,466,2026-08-29T15:21:41.793786+00:00
chokepoint10,2025,38,27,-2.3211802518702007,121,2026-08-29T15:21:41.793786+00:00
chokepoint11,2025,38,3,-1.9570777365465604,24,2026-08-29T15:21:41.793786+00:00
chokepoint12,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint13,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint14,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint15,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint16,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint17,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint18,2025,38,5,-2.0188604242806063,130,2026-08-29T15:21:41.793786+00:00
chokepoint19,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint20,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint21,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint22,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint23,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint24,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint25,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint26,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint27,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint28,2025,38,0,,0,2026-08-29T15:21:41.793786+00:00
chokepoint1,2025,39,16,-0.14512632296372308,36,2026-08-29T15:22:08.821816+00:00
chokepoint2,2025,39,12,-3.827837257054791,88,2026-08-29T15:22:08.821816+00:00
chokepoint3,2025,39,46,-4.345918085575744,281,2026-08-29T15:22:08.821816+00:00
chokepoint4,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint5,2025,39,120,-4.851513601928133,785,2026-08-29T15:22:08.821816+00:00
chokepoint6,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint7,2025,39,49,-5.368830248720596,246,2026-08-29T15:22:08.821816+00:00
chokepoint8,2025,39,2,0.16505279923445992,26,2026-08-29T15:22:08.821816+00:00
chokepoint9,2025,39,12,0.26627607808665915,63,2026-08-29T15:22:08.821816+00:00
chokepoint10,2025,39,106,-5.066724937000261,1043,2026-08-29T15:22:08.821816+00:00
chokepoint11,2025,39,3,-3.225077712715967,40,2026-08-29T15:22:08.821816+00:00
chokepoint12,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint13,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint14,2025,39,5,-4.135258662398526,11,2026-08-29T15:22:08.821816+00:00
chokepoint15,2025,39,2,-6.994004213255556,10,2026-08-29T15:22:08.821816+00:00
chokepoint16,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint17,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint18,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint19,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint20,2025,39,2,1.18798043326345,6,2026-08-29T15:22:08.821816+00:00
chokepoint21,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint22,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint23,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint24,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint25,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint26,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint27,2025,39,1,4.98504486540378,2,2026-08-29T15:22:08.821816+00:00
chokepoint28,2025,39,0,,0,2026-08-29T15:22:08.821816+00:00
chokepoint1,2025,40,9,-3.3702095276713067,43,2026-08-29T15:22:33.955375+00:00
chokepoint2,2025,40,14,-2.589804463964227,56,2026-08-29T15:22:33.955375+00:00
chokepoint3,2025,40,37,-2.9610193257591955,285,2026-08-29T15:22:33.955375+00:00
chokepoint4,2025,40,2,-6.11246943765281,3,2026-08-29T15:22:33.955375+00:00
chokepoint5,2025,40,103,-3.6872558143605216,615,2026-08-29T15:22:33.955375+00:00
chokepoint6,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint7,2025,40,84,-4.198972389864845,370,2026-08-29T15:22:33.955375+00:00
chokepoint8,2025,40,7,-11.209955395699739,59,2026-08-29T15:22:33.955375+00:00
chokepoint9,2025,40,15,-2.5612919138181374,101,2026-08-29T15:22:33.955375+00:00
chokepoint10,2025,40,121,-5.20650986155688,901,2026-08-29T15:22:33.955375+00:00
chokepoint11,2025,40,2,-2.4964520491089948,15,2026-08-29T15:22:33.955375+00:00
chokepoint12,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint13,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint14,2025,40,1,-4.74137931034483,5,2026-08-29T15:22:33.955375+00:00
chokepoint15,2025,40,1,-3.81526104417671,2,2026-08-29T15:22:33.955375+00:00
chokepoint16,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint17,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint18,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint19,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint20,2025,40,6,-2.98660848840251,140,2026-08-29T15:22:33.955375+00:00
chokepoint21,2025,40,1,-0.24539877300613,2,2026-08-29T15:22:33.955375+00:00
chokepoint22,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint23,2025,40,2,-2.84626094192578,15,2026-08-29T15:22:33.955375+00:00
chokepoint24,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint25,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint26,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint27,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint28,2025,40,0,,0,2026-08-29T15:22:33.955375+00:00
chokepoint1,2025,41,13,-3.5605993438253827,49,2026-08-29T15:23:00.226199+00:00
chokepoint2,2025,41,5,-2.9205976409394516,13,2026-08-29T15:23:00.226199+00:00
chokepoint3,2025,41,60,-5.206864164582441,297,2026-08-29T15:23:00.226199+00:00
chokepoint4,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint5,2025,41,92,-3.832756695505677,836,2026-08-29T15:23:00.226199+00:00
chokepoint6,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint7,2025,41,72,-4.7877832044201405,284,2026-08-29T15:23:00.226199+00:00
chokepoint8,2025,41,5,-7.580982547869955,52,2026-08-29T15:23:00.226199+00:00
chokepoint9,2025,41,6,-2.7883857167593384,23,2026-08-29T15:23:00.226199+00:00
chokepoint10,2025,41,19,-3.9171766917989603,249,2026-08-29T15:23:00.226199+00:00
chokepoint11,2025,41,1,-2.2530329289428,2,2026-08-29T15:23:00.226199+00:00
chokepoint12,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint13,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint14,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint15,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint16,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint17,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint18,2025,41,3,-2.423207013184237,18,2026-08-29T15:23:00.226199+00:00
chokepoint19,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint20,2025,41,2,4.90266762797405,8,2026-08-29T15:23:00.226199+00:00
chokepoint21,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint22,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint23,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint24,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint25,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint26,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint27,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint28,2025,41,0,,0,2026-08-29T15:23:00.226199+00:00
chokepoint1,2025,42,1,-3.16846986089645,2,2026-08-29T15:23:25.760388+00:00
chokepoint2,2025,42,15,-4.900070892451103,71,2026-08-29T15:23:25.760388+00:00
chokepoint3,2025,42,46,-6.253540178006602,253,2026-08-29T15:23:25.760388+00:00
chokepoint4,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint5,2025,42,159,-4.862090933262949,1205,2026-08-29T15:23:25.760388+00:00
chokepoint6,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint7,2025,42,97,-5.8295420093733785,597,2026-08-29T15:23:25.760388+00:00
chokepoint8,2025,42,5,0.153894404367942,16,2026-08-29T15:23:25.760388+00:00
chokepoint9,2025,42,11,-4.735703004665513,52,2026-08-29T15:23:25.760388+00:00
chokepoint10,2025,42,26,-1.94521532686453,128,2026-08-29T15:23:25.760388+00:00
chokepoint11,2025,42,3,-4.00075635446118,12,2026-08-29T15:23:25.760388+00:00
chokepoint12,2025,42,2,-7.46666666666666,17,2026-08-29T15:23:25.760388+00:00
chokepoint13,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint14,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint15,2025,42,1,-1.93877551020409,4,2026-08-29T15:23:25.760388+00:00
chokepoint16,2025,42,11,-4.696663397449999,32,2026-08-29T15:23:25.760388+00:00
chokepoint17,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint18,2025,42,1,-1.12781954887218,2,2026-08-29T15:23:25.760388+00:00
chokepoint19,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint20,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint21,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint22,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint23,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint24,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint25,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint26,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint27,2025,42,2,-1.76116838487972,2,2026-08-29T15:23:25.760388+00:00
chokepoint28,2025,42,0,,0,2026-08-29T15:23:25.760388+00:00
chokepoint1,2025,43,4,-0.6291547958214652,14,2026-08-29T15:23:52.956931+00:00
chokepoint2,2025,43,30,-5.617160351667258,201,2026-08-29T15:23:52.956931+00:00
chokepoint3,2025,43,59,-5.048704059595056,248,2026-08-29T15:23:52.956931+00:00
chokepoint4,2025,43,2,-0.88050314465409,6,2026-08-29T15:23:52.956931+00:00
chokepoint5,2025,43,127,-2.7642259143856913,747,2026-08-29T15:23:52.956931+00:00
chokepoint6,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint7,2025,43,111,-6.031724873255885,598,2026-08-29T15:23:52.956931+00:00
chokepoint8,2025,43,11,-0.7848103064808307,42,2026-08-29T15:23:52.956931+00:00
chokepoint9,2025,43,10,-1.3654349854211358,35,2026-08-29T15:23:52.956931+00:00
chokepoint10,2025,43,9,-2.6539047732045957,56,2026-08-29T15:23:52.956931+00:00
chokepoint11,2025,43,1,-5.37542662116041,5,2026-08-29T15:23:52.956931+00:00
chokepoint12,2025,43,1,-0.66777963272121,4,2026-08-29T15:23:52.956931+00:00
chokepoint13,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint14,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint15,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint16,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint17,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint18,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint19,2025,43,2,-1.44784008094987,8,2026-08-29T15:23:52.956931+00:00
chokepoint20,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint21,2025,43,1,1.81378476420798,7,2026-08-29T15:23:52.956931+00:00
chokepoint22,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint23,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint24,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint25,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint26,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint27,2025,43,0,,0,2026-08-29T15:23:52.956931+00:00
chokepoint28,2025,43,4,-4.73321858864027,8,2026-08-29T15:23:52.956931+00:00
chokepoint1,2025,44,1,-5.46780072904009,10,2026-08-29T15:24:19.567411+00:00
chokepoint2,2025,44,27,-4.830187089217706,302,2026-08-29T15:24:19.567411+00:00
chokepoint3,2025,44,112,-5.4981454706967146,548,2026-08-29T15:24:19.567411+00:00
chokepoint4,2025,44,3,-4.296605660044967,5,2026-08-29T15:24:19.567411+00:00
chokepoint5,2025,44,140,-3.2091344406050255,1158,2026-08-29T15:24:19.567411+00:00
chokepoint6,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint7,2025,44,71,-7.689271653109442,265,2026-08-29T15:24:19.567411+00:00
chokepoint8,2025,44,2,-6.16621983914209,10,2026-08-29T15:24:19.567411+00:00
chokepoint9,2025,44,6,-3.8210780422040287,37,2026-08-29T15:24:19.567411+00:00
chokepoint10,2025,44,6,-1.9904179870073448,16,2026-08-29T15:24:19.567411+00:00
chokepoint11,2025,44,1,-7.773851590106,20,2026-08-29T15:24:19.567411+00:00
chokepoint12,2025,44,2,0.4,4,2026-08-29T15:24:19.567411+00:00
chokepoint13,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint14,2025,44,4,-2.429286742362052,21,2026-08-29T15:24:19.567411+00:00
chokepoint15,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint16,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint17,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint18,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint19,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint20,2025,44,1,-5.80357142857143,10,2026-08-29T15:24:19.567411+00:00
chokepoint21,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint22,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint23,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint24,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint25,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint26,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint27,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint28,2025,44,0,,0,2026-08-29T15:24:19.567411+00:00
chokepoint1,2025,45,2,-8.63477246207701,3,2026-08-29T15:24:45.944915+00:00
chokepoint2,2025,45,19,-5.466655467883412,108,2026-08-29T15:24:45.944915+00:00
chokepoint3,2025,45,94,-6.166827368774939,521,2026-08-29T15:24:45.944915+00:00
chokepoint4,2025,45,1,-1.91426484647173,5,2026-08-29T15:24:45.944915+00:00
chokepoint5,2025,45,196,-4.454850289855463,1412,2026-08-29T15:24:45.944915+00:00
chokepoint6,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint7,2025,45,39,-4.094744283631659,137,2026-08-29T15:24:45.944915+00:00
chokepoint8,2025,45,4,-6.079889544152125,24,2026-08-29T15:24:45.944915+00:00
chokepoint9,2025,45,10,-6.311770538504346,114,2026-08-29T15:24:45.944915+00:00
chokepoint10,2025,45,13,-1.8748372037253742,498,2026-08-29T15:24:45.944915+00:00
chokepoint11,2025,45,2,-4.1774940684668405,22,2026-08-29T15:24:45.944915+00:00
chokepoint12,2025,45,1,-4.49704142011834,1,2026-08-29T15:24:45.944915+00:00
chokepoint13,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint14,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint15,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint16,2025,45,5,-2.611860061202546,19,2026-08-29T15:24:45.944915+00:00
chokepoint17,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint18,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint19,2025,45,1,1.80412371134021,4,2026-08-29T15:24:45.944915+00:00
chokepoint20,2025,45,1,-6.71641791044777,2,2026-08-29T15:24:45.944915+00:00
chokepoint21,2025,45,2,-1.0927283534773151,14,2026-08-29T15:24:45.944915+00:00
chokepoint22,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint23,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint24,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint25,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint26,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint27,2025,45,0,,0,2026-08-29T15:24:45.944915+00:00
chokepoint28,2025,45,1,-5.12048192771084,8,2026-08-29T15:24:45.944915+00:00
chokepoint1,2025,46,5,-0.5654903661599539,27,2026-08-29T15:25:12.565540+00:00
chokepoint2,2025,46,43,-4.354858214371954,346,2026-08-29T15:25:12.565540+00:00
chokepoint3,2025,46,50,-5.320085846901703,245,2026-08-29T15:25:12.565540+00:00
chokepoint4,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint5,2025,46,128,-3.9289003110122307,897,2026-08-29T15:25:12.565540+00:00
chokepoint6,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint7,2025,46,93,-4.7932791855208,407,2026-08-29T15:25:12.565540+00:00
chokepoint8,2025,46,4,-6.554651009635372,20,2026-08-29T15:25:12.565540+00:00
chokepoint9,2025,46,3,-7.73809523809524,10,2026-08-29T15:25:12.565540+00:00
chokepoint10,2025,46,19,-0.46417167139645943,99,2026-08-29T15:25:12.565540+00:00
chokepoint11,2025,46,3,-7.226441982515726,28,2026-08-29T15:25:12.565540+00:00
chokepoint12,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint13,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint14,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint15,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint16,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint17,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint18,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint19,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint20,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint21,2025,46,1,1.73697270471464,4,2026-08-29T15:25:12.565540+00:00
chokepoint22,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint23,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint24,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint25,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint26,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint27,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint28,2025,46,0,,0,2026-08-29T15:25:12.565540+00:00
chokepoint1,2025,47,4,-0.9677058203198375,17,2026-08-29T15:25:37.414711+00:00
chokepoint2,2025,47,27,-3.5252829733539888,138,2026-08-29T15:25:37.414711+00:00
chokepoint3,2025,47,125,-2.419334111414809,641,2026-08-29T15:25:37.414711+00:00
chokepoint4,2025,47,0,,0,2026-08-29T15:25:37.414711+00:00
